location_id,source_type,status,failure_reason,address_type,name,display_name,latitude,longitude,house_number,road,neighbourhood,suburb,county,city,state,ISO3166-2-lvl4,postcode,country,country_code
740,restaurant,success,,primary,Grand Concourse,"Grand Concourse, Fordham, The Bronx, Bronx County, City of New York, New York, 10457, United States",40.85533287366251,-73.90128366308177,,Grand Concourse,Fordham,The Bronx,Bronx County,City of New York,New York,US-NY,10457,United States,us
741,restaurant,success,,yes,,"24, Pell Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10013, United States",40.71503345,-73.99816295919737,24,Pell Street,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
742,restaurant,success,,pub,Midwood Flats,"Midwood Flats, 555, Flatbush Avenue, Flatbush, Brooklyn, Kings County, City of New York, New York, 11225, United States",40.6596154,-73.960389,555,Flatbush Avenue,,Brooklyn,Kings County,City of New York,New York,US-NY,11225,United States,us
743,restaurant,success,,yes,,"34-04, 28th Avenue, Queens, Queens County, City of New York, New York, 11103, United States",40.7670634,-73.91768081361641,34-04,28th Avenue,,Queens,Queens County,City of New York,New York,US-NY,11103,United States,us
744,restaurant,success,,restaurant,Uptown Garrison,"Uptown Garrison, 821, West 181st Street, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10033, United States",40.8513454,-73.9393578,821,West 181st Street,Manhattan Community Board 12,Manhattan,New York County,City of New York,New York,US-NY,10033,United States,us
745,restaurant,success,,yes,,"1591, 2nd Avenue, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10028, United States",40.77576445,-73.95367685076197,1591,2nd Avenue,Manhattan Community Board 8,Manhattan,New York County,City of New York,New York,US-NY,10028,United States,us
746,restaurant,success,,house,,"829, West 181st Street, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10033, United States",40.8513908,-73.9395635,829,West 181st Street,Manhattan Community Board 12,Manhattan,New York County,City of New York,New York,US-NY,10033,United States,us
747,restaurant,success,,apartments,,"275, Bleecker Street, University Village, Manhattan, New York County, City of New York, New York, 10014, United States",40.7316496,-74.00301007546281,275,Bleecker Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
748,restaurant,success,,house,,"222-04, Jamaica Avenue, Queens, Queens County, City of New York, New York, 11428, United States",40.720397,-73.731989,222-04,Jamaica Avenue,,Queens,Queens County,City of New York,New York,US-NY,11428,United States,us
749,restaurant,success,,yes,,"143, Troutman Street, Bushwick, Brooklyn, Kings County, City of New York, New York, 11206, United States",40.7000891,-73.92957534913033,143,Troutman Street,,Brooklyn,Kings County,City of New York,New York,US-NY,11206,United States,us
750,restaurant,success,,pedestrian,Myrtle Avenue Plaza,"Myrtle Avenue Plaza, Clinton Hill, Brooklyn, Kings County, City of New York, New York, 11205, United States",40.6936477,-73.96325357127945,,Myrtle Avenue Plaza,Clinton Hill,Brooklyn,Kings County,City of New York,New York,US-NY,11205,United States,us
751,restaurant,success,,yes,,"225, Varick Street, University Village, Manhattan, New York County, City of New York, New York, 10014, United States",40.7289815,-74.00566381789986,225,Varick Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
752,restaurant,success,,yes,,"710, 9th Avenue, Clinton, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10019, United States",40.76244575,-73.98933318854512,710,9th Avenue,Clinton,Manhattan,New York County,City of New York,New York,US-NY,10019,United States,us
753,restaurant,success,,yes,,"1408, Nostrand Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11226, United States",40.652082300000004,-73.9499684329588,1408,Nostrand Avenue,Brooklyn Community District 17,Brooklyn,Kings County,City of New York,New York,US-NY,11226,United States,us
754,restaurant,success,,hotel,NoMo SoHo,"NoMo SoHo, 9, Crosby Street, University Village, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10013, United States",40.7197524,-73.99979875378094,9,Crosby Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
755,restaurant,success,,yes,,"579, Hudson Street, University Village, Manhattan, New York County, City of New York, New York, 10014, United States",40.73624835,-74.00615815060854,579,Hudson Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
756,restaurant,success,,house,,"101, West 68th Street, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10023, United States",40.7750476,-73.9808773,101,West 68th Street,Manhattan Community Board 7,Manhattan,New York County,City of New York,New York,US-NY,10023,United States,us
757,restaurant,success,,church,Hebrew Union College - Jewish Institute of Religion,"Hebrew Union College - Jewish Institute of Religion, 1, West 4th Street, University Village, Manhattan, New York County, City of New York, New York, 10003, United States",40.7287961,-73.99450926597382,1,West 4th Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
758,restaurant,success,,restaurant,Nur Thai,"Nur Thai, 31-01, 34th Avenue, Sunnyside Gardens, Queens, Queens County, City of New York, New York, 11106, United States",40.7596873,-73.926994,31-01,34th Avenue,Sunnyside Gardens,Queens,Queens County,City of New York,New York,US-NY,11106,United States,us
759,restaurant,success,,restaurant,Asian Kitchen,"Asian Kitchen, 2362, 86th Street, Bensonhurst, Brooklyn, Kings County, City of New York, New York, 11214, United States",40.5995027,-73.990109,2362,86th Street,Bensonhurst,Brooklyn,Kings County,City of New York,New York,US-NY,11214,United States,us
760,restaurant,success,,house,,"829, West 181st Street, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10033, United States",40.8513908,-73.9395635,829,West 181st Street,Manhattan Community Board 12,Manhattan,New York County,City of New York,New York,US-NY,10033,United States,us
761,restaurant,success,,yes,,"111, Mott Street, University Village, Lower Manhattan, Manhattan, New York County, City of New York, New York, 10013, United States",40.71761435,-73.99753836693797,111,Mott Street,University Village,Manhattan,New York County,City of New York,New York,US-NY,10013,United States,us
762,restaurant,success,,house,,"829, West 181st Street, Manhattan Community Board 12, Manhattan, New York County, City of New York, New York, 10033, United States",40.8513908,-73.9395635,829,West 181st Street,Manhattan Community Board 12,Manhattan,New York County,City of New York,New York,US-NY,10033,United States,us
763,restaurant,success,,yes,,"1474, Jerome Avenue, Morris Heights, The Bronx, Bronx County, City of New York, New York, 10452, United States",40.8415805,-73.9163121487664,1474,Jerome Avenue,Morris Heights,The Bronx,Bronx County,City of New York,New York,US-NY,10452,United States,us
764,restaurant,success,,house,,"1707, Avenue M, Midwood, Brooklyn, Kings County, City of New York, New York, 11230, United States",40.6183689,-73.9578865,1707,Avenue M,Midwood,Brooklyn,Kings County,City of New York,New York,US-NY,11230,United States,us
765,restaurant,success,,apartments,,"2050, 86th Street, Bensonhurst, Brooklyn, Kings County, City of New York, New York, 11214, United States",40.603693899999996,-73.99723612943083,2050,86th Street,Bensonhurst,Brooklyn,Kings County,City of New York,New York,US-NY,11214,United States,us
766,restaurant,success,,apartments,,"347, Bowery, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States",40.726431700000006,-73.99138167677327,347,Bowery,Manhattan Community Board 3,Manhattan,New York County,City of New York,New York,US-NY,10003,United States,us
767,restaurant,success,,yes,,"2015, 65th Street, Brooklyn, Kings County, City of New York, New York, 11204, United States",40.616461349999994,-73.98522835892481,2015,65th Street,,Brooklyn,Kings County,City of New York,New York,US-NY,11204,United States,us
768,restaurant,success,,yes,,"1474, Jerome Avenue, Morris Heights, The Bronx, Bronx County, City of New York, New York, 10452, United States",40.8415805,-73.9163121487664,1474,Jerome Avenue,Morris Heights,The Bronx,Bronx County,City of New York,New York,US-NY,10452,United States,us
769,restaurant,success,,yes,,"964, Dean Street, Brooklyn, Kings County, City of New York, New York, 11238, United States",40.67790225,-73.95819455,964,Dean Street,,Brooklyn,Kings County,City of New York,New York,US-NY,11238,United States,us
770,restaurant,success,,retail,,"6, Sneden Avenue, Annadale, Staten Island, Richmond County, City of New York, New York, 10312, United States",40.54034925,-74.1770202894765,6,Sneden Avenue,Annadale,Staten Island,,City of New York,New York,US-NY,10312,United States,us
771,restaurant,success,,yes,,"285, West 12th Street, Manhattan, New York County, City of New York, New York, 10014, United States",40.7377144,-74.00410711678865,285,West 12th Street,,Manhattan,New York County,City of New York,New York,US-NY,10014,United States,us
